NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
35,서울특별시 양천구 신정동,922-12,0922,0012,미다스,월세,27.9600,202608,31,"19,000",30,4,2016,오목로 151-5,202609~202809,신규,-,,,연립다세대
36,서울특별시 동대문구 장안동,444-2,0444,0002,캔자스대저택,월세,21.4500,202608,31,"11,000",17,3,2021,천호대로91길 57,202611~202811,갱신,-,"11,000",15,연립다세대
37,서울특별시 마포구 상수동,333-15,0333,0015,미주빌1차,월세,23.2300,202608,31,"13,000",15,3,2008,와우산로5길 17-7,202610~202810,신규,-,,,연립다세대
38,서울특별시 구로구 궁동,213-21,0213,0021,우신빌라,월세,46.5100,202608,31,"2,000",80,2,1988,오리로 1265,202609~202809,신규,-,,,연립다세대
39,서울특별시 마포구 서교동,247-177,0247,0177,두두빌,월세,16.5000,202608,31,"8,722",5,2,2012,성미산로6길 12,202610~202810,신규,-,,,연립다세대
40,서울특별시 송파구 삼전동,5-9,0005,0009,장수빌,월세,45.9100,202608,31,"12,000",52,4,2001,삼전로8길 3,202610~202810,갱신,-,"12,000",47,연립다세대
41,서울특별시 송파구 삼전동,13-1,0013,0001,다명하이츠,전세,72.6100,202608,31,"39,000",0,1,2001,삼전로10길 12,202608~202808,갱신,-,"34,000",0,연립다세대
42,서울특별시 용산구 청파동1가,1-12,0001,0012,(1-12),전세,23.2900,202608,31,"24,000",0,3,2020,청파로71길 44,202609~202809,신규,-,,,연립다세대
43,서울특별시 용산구 청파동1가,100-39,0100,0039,(100-39),전세,56.5000,202608,31,"26,000",0,3,2009,청파로57길 28-7,202609~202809,신규,-,,,연립다세대
44,서울특별시 송파구 석촌동,175-12,0175,0012,석촌트럼프월드,월세,26.9200,202608,31,"26,775",5,2,2016,백제고분로39길 10-20,202610~202810,갱신,-,"25,500",0,연립다세대
45,서울특별시 송파구 석촌동,241-14,0241,0014,동광팰리스(C동),월세,20.2400,202608,31,"3,000",115,5,2015,가락로6길 4-21,202609~202808,신규,-,,,연립다세대
46,서울특별시 마포구 신수동,250-9,0250,0009,(250-9),월세,21.5200,202608,31,"1,000",90,3,2015,독막로32길 47,202608~202808,신규,-,,,연립다세대
47,서울특별시 관악구 남현동,602-50,0602,0050,비타펠리체,월세,13.9100,202608,31,"3,000",60,5,2019,승방6길 21,202610~202810,갱신,사용,"10,000",28,연립다세대
48,서울특별시 송파구 석촌동,250-9,0250,0009,코튼빌,월세,46.2600,202608,31,"10,000",80,2,2013,가락로5길 4-15,202609~202809,갱신,-,"10,000",74,연립다세대
49,서울특별시 도봉구 창동,601-93,0601,0093,다우그린빌,월세,57.9600,202608,31,"13,000",39,2,2002,덕릉로59길 32-15,202610~202810,갱신,사용,"13,000",35,연립다세대
50,서울특별시 송파구 석촌동,270-4,0270,0004,아트하우스(270-4),월세,39.6400,202608,31,"15,000",70,3,2003,가락로13길 14,202611~202811,신규,-,,,연립다세대
51,서울특별시 도봉구 창동,623-90,0623,0090,이화빌라A,월세,42.5200,202608,31,"14,000",25,2,1991,도봉로110마길 24,202611~202811,신규,-,,,연립다세대
52,서울특별시 광진구 화양동,36-22,0036,0022,더하임,전세,29.8200,202608,31,"30,000",0,2,2026,아차산로23길 48-5,202609~202809,신규,-,,,연립다세대
53,서울특별시 강동구 성내동,420-49,0420,0049,강동서영스윗홈,월세,35.6200,202608,31,"6,935",7,2,2021,양재대로91길 82,202609~202808,갱신,-,"6,935",7,연립다세대
54,서울특별시 송파구 삼전동,165-2,0165,0002,(165-2),월세,21.3600,202608,31,"1,000",67,3,2002,백제고분로32길 18-15,202608~202808,신규,-,,,연립다세대
