동네,NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
신림,2125,서울특별시 관악구 신림동,489-17,0489,0017,이도파크빌,월세,26.3100,202608,24,"8,543",7,2,2023,남부순환로159길 35,202609~202808,갱신,-,"3,450",36,연립다세대
수유,2136,서울특별시 강북구 수유동,313-6,0313,0006,홍원하이빌강북7,월세,24.0900,202608,23,"2,346",24,5,2021,삼양로119길 22,202609~202808,갱신,-,"2,346",24,연립다세대
수유,2139,서울특별시 강북구 수유동,291-150,0291,0150,풍경,월세,29.9000,202608,23,"1,500",85,5,2016,삼양로123길 32-46,202609~202802,신규,-,,,연립다세대
수유,2141,서울특별시 강북구 수유동,190-24,0190,0024,코지하우스,월세,12.2400,202608,23,500,41,5,2013,한천로 1053-6,202608~202708,신규,-,,,연립다세대
사당,2144,서울특별시 동작구 사당동,267-4,0267,0004,267-4,월세,29.0400,202608,23,"2,000",75,4,2020,사당로16가길 19,202610~202710,갱신,-,"2,000",72,연립다세대
역삼,2157,서울특별시 강남구 역삼동,743-1,0743,0001,동우빌라(743-1),전세,129.5100,202608,23,"55,000",0,3,1994,논현로79길 37,202609~202809,갱신,-,"52,500",0,연립다세대
신촌,2159,서울특별시 서대문구 창천동,99-10,0099,0010,해피빌3차,월세,35.3000,202608,23,500,60,3,2002,성산로 408-4,202608~202708,신규,-,,,연립다세대
신촌,2160,서울특별시 서대문구 창천동,90-34,0090,0034,스카이빌,월세,26.8800,202608,23,500,90,2,2003,신촌로7길 49-11,202608~202708,신규,-,,,연립다세대
흑석,2163,서울특별시 동작구 흑석동,186-72,0186,0072,흑석빌리지,월세,56.5900,202608,23,"3,000",97,3,2017,흑석로13마길 41,202608~202801,신규,-,,,연립다세대
홍대,2176,서울특별시 마포구 서교동,448-32,0448,0032,청기와빌라,전세,66.4200,202608,23,"26,000",0,5,2002,동교로17안길 39,202608~203008,신규,-,,,연립다세대
청량리,2177,서울특별시 동대문구 청량리동,53-15,0053,0015,(53-15),전세,13.3300,202608,23,"12,700",0,4,2012,왕산로47길 57,202609~202809,신규,-,,,연립다세대
역삼,2181,서울특별시 강남구 역삼동,695-4,0695,0004,산마리노,월세,47.2300,202608,23,"7,000",63,1,2002,테헤란로53길 38,202609~202709,신규,-,,,연립다세대
신림,2186,서울특별시 관악구 신림동,571-1,0571,0001,홍연그린빌(571-1),월세,20.9600,202608,23,"2,000",48,2,2016,조원중앙로2길 11,202608~202808,갱신,사용,"2,000",46,연립다세대
신림,2191,서울특별시 관악구 신림동,610-256,0610,0256,동성맨션5차,월세,48.1400,202608,23,"10,000",30,-1,1996,법원단지18길 24,202609~202809,신규,-,,,연립다세대
신림,2192,서울특별시 관악구 신림동,10-414,0010,0414,광덕빌,월세,83.1000,202608,23,500,55,2,2004,남부순환로194길 19,202608~202808,신규,-,,,연립다세대
합정,2201,서울특별시 마포구 합정동,434-15,0434,0015,원스빌,월세,12.6000,202608,23,"2,000",46,3,2011,월드컵로7길 87-4,202609~202709,신규,-,,,연립다세대
흑석,2254,서울특별시 동작구 흑석동,204-17,0204,0017,중앙맨션,월세,66.5600,202608,22,"10,000",120,4,1998,흑석로5길 32,202609~202809,신규,-,,,연립다세대
흑석,2255,서울특별시 동작구 흑석동,204-17,0204,0017,중앙맨션,월세,66.5600,202608,22,"10,000",120,4,1998,흑석로5길 32,202609~202809,신규,-,,,연립다세대
건대입구,2263,서울특별시 광진구 구의동,26-7,0026,0007,현대아트빌라(26-7),월세,46.0400,202608,22,"19,000",30,3,1995,자양로52길 7,202609~202809,갱신,-,"18,000",30,연립다세대
건대입구,2264,서울특별시 광진구 구의동,242-137,0242,0137,(242-137),월세,29.9400,202608,22,"11,000",42,2,2013,자양로18길 67-7,202611~202811,신규,-,,,연립다세대
건대입구,2266,서울특별시 광진구 구의동,619-17,0619,0017,대산하우스,전세,29.5000,202608,22,"23,500",0,2,2018,자양로35길 20,202609~202809,갱신,사용,"23,000",0,연립다세대
왕십리,2267,서울특별시 성동구 행당동,254-1,0254,0001,대성빌라,월세,44.5300,202608,22,"11,000",60,1,1992,고산자로12길 11-1,202609~202809,갱신,-,"9,000",49,연립다세대
건대입구,2269,서울특별시 광진구 구의동,29-20,0029,0020,승지,월세,29.3100,202608,22,"4,000",78,4,2020,자양로49길 16-7,202608~202808,신규,-,,,연립다세대
역삼,2272,서울특별시 강남구 역삼동,637-26,0637,0026,에이스빌,월세,35.4100,202608,22,"10,000",100,4,2005,테헤란로19길 21-11,202610~202810,신규,-,,,연립다세대
사당,2273,서울특별시 동작구 사당동,419-87,0419,0087,삼성아트7차,월세,59.9800,202608,22,"5,000",175,2,1998,남부순환로269길 54,202610~202810,신규,-,,,연립다세대
사당,2274,서울특별시 동작구 사당동,431-3,0431,0003,부림아트빌(431-3),월세,40.9800,202608,22,"20,000",23,4,2008,사당로22나길 29,202609~202809,갱신,-,"25,000",0,연립다세대
사당,2275,서울특별시 동작구 사당동,431-3,0431,0003,부림아트빌(431-3),월세,42.2100,202608,22,"20,000",23,3,2008,사당로22나길 29,202610~202810,갱신,-,"25,000",0,연립다세대
사당,2276,서울특별시 동작구 사당동,419-42,0419,0042,더하우스8차,월세,46.3500,202608,22,"10,000",90,4,2008,남부순환로265나길 13,202610~202810,신규,-,,,연립다세대
사당,2277,서울특별시 동작구 사당동,419-105,0419,0105,미래아트빌,전세,71.8350,202608,22,"30,500",0,4,2009,남부순환로265가길 13,202610~202810,신규,-,,,연립다세대
사당,2278,서울특별시 동작구 사당동,316-244,0316,0244,귀주아트빌,전세,43.6200,202608,22,"20,000",0,4,2014,사당로20바길 15,202608~202808,갱신,사용,"20,000",0,연립다세대
사당,2279,서울특별시 동작구 사당동,431-4,0431,0004,옵티뭄빌,전세,45.2300,202608,22,"35,000",0,3,2016,사당로20길 63,202611~202811,신규,-,,,연립다세대
사당,2281,서울특별시 동작구 사당동,230-19,0230,0019,로얄팰리스,전세,51.3800,202608,22,"38,535",0,2,2016,사당로8가길 9-8,202610~202810,신규,-,,,연립다세대
사당,2282,서울특별시 동작구 사당동,91-2,0091,0002,형제팰리스,월세,51.7200,202608,22,"25,000",39,4,2018,동작대로31길 30,202609~202809,갱신,-,"25,000",38,연립다세대
사당,2283,서울특별시 동작구 사당동,316-179,0316,0179,316-179,월세,32.9500,202608,22,"17,362",3,1,2018,사당로20다길 29,202610~202810,갱신,-,"17,362",0,연립다세대
합정,2290,서울특별시 마포구 합정동,359-42,0359,0042,동아아트빌라,전세,54.1200,202608,22,"27,000",0,4,1991,성지3길 62,202610~202810,갱신,-,"22,000",0,연립다세대
성수,2292,서울특별시 성동구 성수동2가,289-162,0289,0162,대명아트빌,월세,29.9400,202608,22,"30,000",4,5,2020,광나루로 248-26,202609~202809,갱신,-,"30,000",0,연립다세대
성수,2296,서울특별시 성동구 성수동2가,299-80,0299,0080,오페라하우스,전세,44.2800,202608,22,"37,800",0,5,2015,광나루로4길 4,202609~202809,갱신,-,"36,000",0,연립다세대
성수,2305,서울특별시 성동구 성수동2가,321-64,0321,0064,명품빌리지,전세,28.2700,202608,22,"21,500",0,3,2012,성수일로4가길 14,202610~202810,신규,-,,,연립다세대
합정,2314,서울특별시 마포구 합정동,391-2,0391,0002,고려빌라트,월세,126.6100,202608,22,78,78,4,1992,포은로2가길 29,202608~202702,갱신,-,78,48,연립다세대
합정,2315,서울특별시 마포구 합정동,391-27,0391,0027,주연빌리지27,전세,44.6800,202608,22,"25,600",0,5,2004,포은로2가길 33-6,202611~202810,갱신,-,"24,400",0,연립다세대
신림,2318,서울특별시 관악구 신림동,546-2,0546,0002,조원도시형생활주택,월세,13.6000,202608,22,500,51,4,2011,조원로 62-1,202609~202709,신규,-,,,연립다세대
신림,2337,서울특별시 관악구 신림동,103-134,0103,0134,103-134,월세,28.8000,202608,22,"3,200",69,4,2014,서림길 99-6,202609~202809,신규,-,,,연립다세대
신림,2338,서울특별시 관악구 신림동,535-6,0535,0006,노아의방주,월세,34.3200,202608,22,"12,800",25,4,2012,조원로19길 9,202611~202811,신규,-,,,연립다세대
신촌,2382,서울특별시 서대문구 창천동,191,0191,0000,다모아,전세,72.9000,202608,22,"12,000",0,4,2003,신촌로7안길 50,202608~202808,신규,-,,,연립다세대
역삼,2390,서울특별시 강남구 역삼동,778-18,0778,0018,J&Jvill,전세,34.7100,202608,22,"31,300",0,5,2015,언주로69길 23-3,202610~202810,신규,-,,,연립다세대
홍대,2391,서울특별시 마포구 서교동,333-44,0333,0044,WhiteVille,월세,18.7800,202608,22,"2,000",55,1,2002,와우산로29마길 15-6,202608~202808,신규,-,,,연립다세대
노원,2392,서울특별시 노원구 중계동,90-33,0090,0033,민하우스(A동),전세,48.7800,202608,22,"18,600",0,5,2011,중계로14라길 37,202609~202809,갱신,-,"17,800",0,연립다세대
합정,2393,서울특별시 마포구 합정동,451-11,0451,0011,합정어반힐,전세,25.7600,202608,22,"29,500",0,5,2020,희우정로7길 31,202610~202810,갱신,사용,"28,300",0,연립다세대
노원,2396,서울특별시 노원구 상계동,1105-65,1105,0065,원하우스,월세,16.1200,202608,22,"1,000",40,2,2013,동일로237나길 35-12,202608~202808,신규,-,,,연립다세대
노원,2398,서울특별시 노원구 상계동,581-115,0581,0115,송원레지던스,월세,16.7400,202608,22,"6,500",1,3,2012,상계로1길 54-12,202609~202809,갱신,-,"6,500",0,연립다세대
노원,2399,서울특별시 노원구 상계동,169-66,0169,0066,동방빌라,월세,40.5100,202608,22,"12,000",15,2,1994,한글비석로 418-9,202610~202810,갱신,사용,"12,000",15,연립다세대
노원,2400,서울특별시 노원구 상계동,134-120,0134,0120,대보빌라2동,전세,42.4800,202608,22,"8,000",0,-1,1991,수락산로 65,202609~202809,신규,-,,,연립다세대
노원,2405,서울특별시 노원구 공릉동,416,0416,0000,이화맨션나동,월세,44.6500,202608,22,"14,000",35,5,2006,공릉로 173-4,202609~202809,신규,-,,,연립다세대
건대입구,2463,서울특별시 광진구 자양동,611-39,0611,0039,(611-39),전세,37.4400,202608,22,"21,000",0,1,1986,아차산로40길 68,202612~202812,신규,-,,,연립다세대
건대입구,2464,서울특별시 광진구 자양동,84-10,0084,0010,(84-10),월세,42.8200,202608,22,500,50,-1,1991,능동로3다길 25,202608~202808,신규,-,,,연립다세대
건대입구,2465,서울특별시 광진구 자양동,664-12,0664,0012,화이트하우스(664-12),전세,39.6000,202608,22,"21,994",0,2,2009,자양로3길 40-8,202610~202810,갱신,-,"20,947",0,연립다세대
건대입구,2468,서울특별시 광진구 자양동,652-35,0652,0035,예림빌라,전세,72.0300,202608,22,"42,000",0,4,2010,뚝섬로56길 8,202610~202810,신규,-,,,연립다세대
역삼,2478,서울특별시 강남구 역삼동,745-35,0745,0035,다올2차,월세,25.4800,202608,22,"32,800",3,3,2019,논현로75길 28,202609~202809,신규,-,,,연립다세대
건대입구,2481,서울특별시 광진구 자양동,775-12,0775,0012,늘푸른하우스,월세,49.7000,202608,22,"40,000",10,5,2016,아차산로45길 22,202608~202808,갱신,-,"40,000",0,연립다세대
건대입구,2482,서울특별시 광진구 자양동,192-21,0192,0021,아스하임(192-21),전세,51.7000,202608,22,"27,500",0,3,2017,뚝섬로22길 69,202608~202808,갱신,-,"27,000",0,연립다세대
건대입구,2487,서울특별시 광진구 자양동,229-36,0229,0036,삼성홈타운17차,전세,29.9000,202608,22,"28,875",0,3,2017,아차산로40길 53-12,202608~202808,갱신,사용,"27,500",0,연립다세대
건대입구,2490,서울특별시 광진구 자양동,57-124,0057,0124,까사리버자양,전세,18.9100,202608,22,"20,000",0,4,2021,뚝섬로22길 88,202609~202809,신규,-,,,연립다세대
건대입구,2491,서울특별시 광진구 자양동,227-273,0227,0273,디앤씨스톤,전세,50.5600,202608,22,"52,000",0,2,2024,자양번영로7길 12-8,202610~202810,신규,-,,,연립다세대
신촌,2492,서울특별시 서대문구 대현동,90-42,0090,0042,이대다올노블리움2차(에이동),월세,13.9800,202608,22,"1,000",80,8,2018,이화여대1길 30,202608~202708,신규,-,,,연립다세대
수유,2513,서울특별시 강북구 수유동,291-59,0291,0059,홍원하이빌강북6,월세,24.0000,202608,22,210,29,3,2021,인수봉로82길 26,202609~202808,갱신,-,210,29,연립다세대
수유,2514,서울특별시 강북구 수유동,313-6,0313,0006,홍원하이빌강북7,월세,19.0800,202608,22,210,23,2,2021,삼양로119길 22,202609~202808,갱신,-,210,23,연립다세대
수유,2515,서울특별시 강북구 수유동,535-130,0535,0130,북한산타운힐즈,월세,84.7700,202608,22,"28,000",50,1,2018,4.19로25길 33,202610~202810,신규,-,,,연립다세대
수유,2516,서울특별시 강북구 수유동,486-777,0486,0777,우광타운(12),월세,30.1100,202608,22,"1,300",65,2,1990,인수봉로29길 6,202608~202808,신규,-,,,연립다세대
수유,2517,서울특별시 강북구 수유동,313-17,0313,0017,혁구하이츠빌라8차,월세,42.2300,202608,22,"1,000",70,4,1993,삼양로119길 9,202610~202809,신규,-,,,연립다세대
상도,2529,서울특별시 동작구 상도동,26-27,0026,0027,한울빌딩,월세,12.2900,202608,22,"1,000",57,4,2012,상도로 217-4,202608~202708,신규,-,,,연립다세대
수유,2533,서울특별시 강북구 수유동,252-46,0252,0046,우성빌라(252-46),월세,31.1400,202608,22,"2,000",80,3,1994,노해로27길 37,202608~202808,신규,-,,,연립다세대
상도,2537,서울특별시 동작구 상도동,299-57,0299,0057,네오빌리지(299-57),월세,29.9400,202608,22,"18,000",15,4,2014,국사봉6길 15-1,202611~202811,갱신,사용,"18,000",10,연립다세대
상도,2538,서울특별시 동작구 상도동,321-3,0321,0003,청운하우스,전세,49.8250,202608,22,"35,800",0,3,2016,국사봉길 21-5,202610~202810,신규,-,,,연립다세대
성수,2557,서울특별시 성동구 성수동2가,289-162,0289,0162,대명아트빌,전세,24.5800,202608,21,"24,500",0,3,2020,광나루로 248-26,202609~202809,갱신,사용,"24,000",0,연립다세대
성수,2558,서울특별시 성동구 성수동1가,685-314,0685,0314,보덕다세대,전세,38.1600,202608,21,"27,000",0,4,2003,서울숲7길 12,202610~202810,갱신,사용,"26,000",0,연립다세대
왕십리,2590,서울특별시 성동구 행당동,313-44,0313,0044,설악빌라A동,전세,55.0100,202608,21,"36,750",0,2,1998,행당로13길 12,202608~202808,갱신,사용,"35,000",0,연립다세대
안암,2594,서울특별시 성북구 안암동2가,160-7,0160,0007,(160-7),월세,15.4100,202608,21,"1,000",35,4,2013,고려대로14길 12,202608~202708,갱신,-,"1,000",33,연립다세대
길음,2607,서울특별시 성북구 길음동,488-22,0488,0022,뜨란채,월세,13.6600,202608,21,"3,000",47,3,2014,도봉로3길 22-8,202609~202809,신규,-,,,연립다세대
신림,2657,서울특별시 관악구 신림동,90-41,0090,0041,해오름(90-41),월세,41.9000,202608,21,"1,000",85,2,2013,신림로54가길 25,202609~202709,신규,-,,,연립다세대
신림,2658,서울특별시 관악구 신림동,1503-2,1503,0002,(1503-2),월세,61.4700,202608,21,"7,000",50,3,2002,남부순환로200가길 9-6,202610~202810,신규,-,,,연립다세대
신림,2670,서울특별시 관악구 신림동,1441-9,1441,0009,세진하이츠빌라,월세,27.8400,202608,21,"1,000",40,4,1991,관천로22길 78,202608~202808,신규,-,,,연립다세대
신림,2671,서울특별시 관악구 신림동,458-33,0458,0033,정원빌라(458-33),전세,35.6400,202608,21,"16,000",0,4,1991,관천로23길 7,202610~202810,신규,-,,,연립다세대
수유,2673,서울특별시 강북구 수유동,530-105,0530,0105,동아하이츠,월세,41.7000,202608,21,"1,000",60,2,1996,인수봉로73나길 41,202609~202809,갱신,-,"1,000",55,연립다세대
수유,2674,서울특별시 강북구 수유동,558-22,0558,0022,은행빌라(558-22),월세,47.1600,202608,21,"2,000",70,5,2011,인수봉로80길 7,202608~202808,신규,-,,,연립다세대
수유,2675,서울특별시 강북구 수유동,270-225,0270,0225,삼일씨티빌,전세,44.1700,202608,21,"16,300",0,5,2012,한천로166길 17,202608~202808,갱신,사용,"16,000",0,연립다세대
수유,2676,서울특별시 강북구 수유동,9-60,0009,0060,화이트씨앤빌,전세,39.5100,202608,21,"17,000",0,5,2015,노해로7길 32-7,202610~202810,신규,-,,,연립다세대
수유,2677,서울특별시 강북구 수유동,472-358,0472,0358,아가페하우스,월세,16.2200,202608,21,500,57,2,2017,삼양로81길 70,202608~202808,신규,-,,,연립다세대
수유,2678,서울특별시 강북구 수유동,8-136,0008,0136,유니버설디자인하우스수유,월세,21.6200,202608,21,"7,200",20,5,2020,삼각산로28길 84,-,-,-,,,연립다세대
수유,2679,서울특별시 강북구 수유동,291-59,0291,0059,홍원하이빌강북6,월세,25.5000,202608,21,"4,079",15,5,2021,인수봉로82길 26,202609~202808,갱신,-,210,29,연립다세대
수유,2680,서울특별시 강북구 수유동,472-540,0472,0540,대원하늘채,전세,54.2000,202608,21,"30,000",0,4,2022,삼양로81길 38-3,202610~202810,신규,-,,,연립다세대
신촌,2681,서울특별시 서대문구 대현동,90-42,0090,0042,이대다올노블리움2차(에이동),월세,13.9800,202608,21,"1,000",80,7,2018,이화여대1길 30,202608~202708,신규,-,,,연립다세대
건대입구,2699,서울특별시 광진구 자양동,611-1,0611,0001,예닮,전세,30.4600,202608,21,"30,000",0,3,2017,자양번영로 62,202609~202809,신규,-,,,연립다세대
건대입구,2700,서울특별시 광진구 자양동,611-1,0611,0001,예닮,전세,30.4600,202608,21,"30,000",0,3,2017,자양번영로 62,202609~202809,신규,-,,,연립다세대
건대입구,2701,서울특별시 광진구 자양동,832-7,0832,0007,(832-7),전세,17.7500,202608,21,"12,000",0,2,2007,동일로16길 17-6,202609~202809,신규,-,,,연립다세대
건대입구,2702,서울특별시 광진구 자양동,767-3,0767,0003,경일빌라,월세,114.9400,202608,21,"4,000",85,3,1989,자양로21길 8,202610~202810,신규,-,,,연립다세대
건대입구,2703,서울특별시 광진구 자양동,646-13,0646,0013,주홍아트빌,전세,45.5000,202608,21,"26,250",0,3,2003,뚝섬로52라길 64,202609~202809,갱신,사용,"25,000",0,연립다세대
건대입구,2706,서울특별시 광진구 자양동,582-2,0582,0002,송광아트빌라,월세,72.3700,202608,21,"11,000",76,3,1995,자양번영로3길 12-9,202610~202810,갱신,사용,"11,000",70,연립다세대
건대입구,2714,서울특별시 광진구 화양동,16-33,0016,0033,(16-33),월세,68.7400,202608,21,"1,000",61,2,2002,군자로5길 24-3,202608~202708,신규,-,,,연립다세대
건대입구,2715,서울특별시 광진구 화양동,45-2,0045,0002,(45-2),월세,21.0000,202608,21,"1,000",60,3,2006,아차산로25길 31,202608~202808,신규,-,,,연립다세대
홍대,2718,서울특별시 마포구 상수동,326-2,0326,0002,(326-2),월세,40.0900,202608,21,"2,000",100,2,2004,와우산로7길 13,202608~202808,신규,-,,,연립다세대
건대입구,2724,서울특별시 광진구 자양동,229-10,0229,0010,고은빌라,월세,56.3400,202608,21,"24,500",10,2,2002,아차산로42길 54,202609~202809,갱신,-,"24,500",10,연립다세대
홍대,2725,서울특별시 마포구 서교동,482-30,0482,0030,씨티빌라,월세,51.2100,202608,21,"10,000",40,2,1995,동교로12안길 48,202609~202809,갱신,-,"19,500",0,연립다세대
홍대,2726,서울특별시 마포구 서교동,451-53,0451,0053,인사이트,월세,18.9300,202608,21,500,70,3,2013,월드컵북로5나길 9-9,202608~202708,신규,-,,,연립다세대
노원,2730,서울특별시 노원구 월계동,411-15,0411,0015,제이앤제이하우스,월세,18.5600,202608,21,"1,000",40,4,2012,석계로13길 40,202608~202702,갱신,-,"1,000",38,연립다세대
노원,2737,서울특별시 노원구 공릉동,504-17,0504,0017,성우빌라,월세,39.4500,202608,21,"11,600",30,4,1995,동일로186길 77-15,202609~202809,신규,-,,,연립다세대
노원,2738,서울특별시 노원구 공릉동,350-97,0350,0097,로뎀하우스,전세,64.7600,202608,21,"7,000",0,3,2009,공릉로39길 22-5,202608~202808,신규,-,,,연립다세대
노원,2741,서울특별시 노원구 하계동,61-8,0061,0008,리치빌,월세,26.5300,202608,21,"9,000",25,3,2007,공릉로58길 121-7,202609~202809,신규,-,,,연립다세대
노원,2754,서울특별시 노원구 상계동,101-140,0101,0140,수양빌라,전세,42.8800,202608,21,"10,000",0,3,1992,덕릉로115나길 48,202610~202810,갱신,-,"8,500",0,연립다세대
신림,2798,서울특별시 관악구 신림동,1465-1,1465,0001,신사타운빌,월세,41.0100,202608,21,"30,000",15,2,2016,남부순환로167길 42,-,-,-,,,연립다세대
신림,2799,서울특별시 관악구 신림동,98-357,0098,0357,천년캐슬(98-357),월세,22.0500,202608,21,"12,000",40,2,2017,서림1길 57,202610~202810,신규,-,,,연립다세대
신림,2800,서울특별시 관악구 신림동,98-357,0098,0357,천년캐슬(98-357),월세,22.0500,202608,21,"12,000",40,2,2017,서림1길 57,202610~202810,신규,-,,,연립다세대
신림,2804,서울특별시 관악구 신림동,1667,1667,0000,운성,월세,34.6500,202608,21,"24,400",17,5,2020,조원중앙로1길 75,202611~202811,신규,-,,,연립다세대
신림,2805,서울특별시 관악구 신림동,501-6,0501,0006,(501-6),월세,26.2800,202608,21,"20,000",20,4,2022,난곡로74길 47,202608~202808,신규,-,,,연립다세대
신림,2806,서울특별시 관악구 신림동,1628-68,1628,0068,T&K신림Ⅴ,월세,56.3800,202608,21,"3,506",36,5,2026,문성로27길 9,202609~202811,신규,-,,,연립다세대
합정,2828,서울특별시 마포구 합정동,440-18,0440,0018,대명풀하우스3,전세,12.3200,202608,21,"10,500",0,4,2013,월드컵로7길 105,202611~202811,갱신,-,"10,300",0,연립다세대
사당,2833,서울특별시 동작구 사당동,437-39,0437,0039,다경빌(437-39),전세,50.9200,202608,21,"36,500",0,3,2023,남부순환로265길 68,202610~202810,신규,-,,,연립다세대
사당,2834,서울특별시 동작구 사당동,52-7,0052,0007,라온펠리체,월세,44.5100,202608,21,"31,300",45,5,2021,동작대로35차길 16,202611~202811,신규,-,,,연립다세대
사당,2835,서울특별시 동작구 사당동,303-90,0303,0090,(303-90),전세,29.8950,202608,21,"13,200",0,2,2007,사당로16길 131-7,202609~202809,신규,-,,,연립다세대
사당,2836,서울특별시 동작구 사당동,176-40,0176,0040,(176-40),전세,41.6400,202608,21,"15,000",0,1,1989,사당로23길 190-9,202609~202809,신규,-,,,연립다세대
건대입구,2842,서울특별시 광진구 구의동,225-39,0225,0039,(225-39),전세,66.0500,202608,21,"30,208",0,3,2005,자양로28길 85,202608~202808,갱신,-,"28,770",0,연립다세대
건대입구,2843,서울특별시 광진구 구의동,225-39,0225,0039,(225-39),전세,66.0500,202608,21,"30,208",0,3,2005,자양로28길 85,202608~202808,갱신,-,"28,770",0,연립다세대
건대입구,2844,서울특별시 광진구 구의동,252-98,0252,0098,팔라티노,전세,28.5500,202608,21,"30,400",0,5,2020,아차산로49길 41-7,202608~202808,갱신,-,"29,000",0,연립다세대
건대입구,2845,서울특별시 광진구 구의동,226-19,0226,0019,우림빌라,월세,46.0300,202608,21,"9,000",23,3,1996,자양로30길 83,202609~202809,갱신,사용,"9,000",20,연립다세대
합정,2851,서울특별시 마포구 합정동,91-15,0091,0015,더하우스3차,전세,29.3700,202608,21,"20,000",0,2,2007,토정로2길 12,202609~202809,신규,-,,,연립다세대
상도,2865,서울특별시 동작구 상도동,356-1,0356,0001,명성주택,전세,26.8400,202608,21,"22,000",0,4,2016,상도로17길 11,202610~202810,신규,-,,,연립다세대
상도,2866,서울특별시 동작구 상도동,210-103,0210,0103,대흥미소가19차,전세,35.7400,202608,21,"26,500",0,3,2016,양녕로25마길 9,202610~202810,신규,-,,,연립다세대
상도,2867,서울특별시 동작구 상도동,256-207,0256,0207,두성쉐르빌(256-207),전세,82.9900,202608,21,"32,000",0,2,2002,성대로6다길 14,202612~202812,신규,-,,,연립다세대
홍대,2886,서울특별시 마포구 동교동,113-41,0113,0041,써니빌비동,월세,36.6100,202608,21,"1,000",75,5,2002,연희로1길 30-5,202608~202708,신규,-,,,연립다세대
역삼,2896,서울특별시 강남구 역삼동,648-1,0648,0001,강남IBC오피스텔,월세,23.0900,202608,21,"1,000",97,9,1987,테헤란로7길 8,202608~202708,신규,-,,,연립다세대
역삼,2900,서울특별시 강남구 역삼동,780-21,0780,0021,빌리언빌리지,전세,65.6900,202608,21,"35,200",0,3,2002,도곡로37길 27,202609~202809,갱신,-,"33,600",0,연립다세대
합정,2916,서울특별시 마포구 합정동,370-30,0370,0030,대명시티파크B동,전세,34.2500,202608,20,"21,800",0,2,2008,성지5길 5-11,202608~202808,갱신,-,"21,800",0,연립다세대
건대입구,2923,서울특별시 광진구 화양동,94-6,0094,0006,(94-6),월세,12.9200,202608,20,"1,000",61,3,2013,능동로17길 7-3,202608~202808,신규,-,,,연립다세대
홍대,2933,서울특별시 마포구 서교동,396-60,0396,0060,동궁나동,월세,60.4900,202608,20,"30,000",30,4,2002,독막로3길 28-10,202609~202809,신규,-,,,연립다세대
홍대,2934,서울특별시 마포구 서교동,476-3,0476,0003,미주빌라,전세,49.2000,202608,20,"26,624",0,2,1991,월드컵로10길 23,202609~202809,갱신,사용,"25,357",0,연립다세대
홍대,2936,서울특별시 마포구 서교동,441-8,0441,0008,그로리아,월세,23.8000,202608,20,"2,000",85,5,2012,성미산로2길 40,202609~202809,갱신,-,"2,000",81,연립다세대
건대입구,2939,서울특별시 광진구 자양동,229-61,0229,0061,예건에버빌,전세,57.7500,202608,20,"45,000",0,2,2023,아차산로40길 39-8,202609~202809,갱신,사용,"45,000",0,연립다세대
건대입구,2940,서울특별시 광진구 자양동,57-90,0057,0090,자양리치빌Ⅳ,전세,28.8400,202608,20,"30,000",0,4,2021,능동로3마길 10-3,202610~202809,신규,-,,,연립다세대
건대입구,2941,서울특별시 광진구 자양동,52-172,0052,0172,에덴빌6차,전세,26.6100,202608,20,"27,000",0,4,2017,동일로4길 57-16,202608~202808,갱신,-,"27,000",0,연립다세대
건대입구,2942,서울특별시 광진구 자양동,553-5,0553,0005,가은빌,월세,18.8000,202608,20,"1,000",69,2,2015,능동로7길 38,202608~202808,신규,-,,,연립다세대
건대입구,2943,서울특별시 광진구 자양동,845-2,0845,0002,(845-2),월세,23.8900,202608,20,500,54,3,2015,능동로7길 61,202608~202808,신규,-,,,연립다세대
건대입구,2944,서울특별시 광진구 자양동,770,0770,0000,큰나무빌라트,전세,78.4900,202608,20,"40,000",0,1,1998,자양로21길 36,202610~202810,신규,-,,,연립다세대
상도,2960,서울특별시 동작구 상도동,335-155,0335,0155,광채빌라,월세,37.5800,202608,20,100,44,3,2024,상도로11길 10,202609~202811,신규,-,,,연립다세대
상도,2961,서울특별시 동작구 상도동,211-438,0211,0438,구립약수경로당행복주택복합시설,월세,20.3200,202608,20,"4,445",16,4,2020,양녕로 210-10,202609~202808,갱신,-,"3,862",14,연립다세대
상도,2962,서울특별시 동작구 상도동,56-60,0056,0060,56-60,월세,29.1100,202608,20,"7,000",13,-1,2015,상도로45길 51-8,202608~202808,갱신,사용,"7,000",12,연립다세대
상도,2963,서울특별시 동작구 상도동,256-201,0256,0201,동진빌라,월세,59.5200,202608,20,"5,000",95,1,1993,성대로6라길 16,202609~202809,갱신,-,"5,000",90,연립다세대
건대입구,3034,서울특별시 광진구 자양동,688,0688,0000,뉴현대빌라(688),전세,58.6500,202608,20,"25,525",0,1,1996,뚝섬로62길 33,202611~202811,신규,-,,,연립다세대
합정,3046,서울특별시 마포구 합정동,426-6,0426,0006,까사펠리체,월세,35.1200,202608,20,"2,000",48,1,2002,월드컵로5길 8,202609~202809,신규,-,,,연립다세대
